h3,area_km2,land_km2,land_frac,zone,dist_land_km,province,district,gov_dest,gov_tier,lc_tree,lc_shrub,lc_grass,lc_crop,lc_built,lc_bare,lc_snow,lc_water,lc_wetland,lc_mangrove,lc_moss,lc_pixels,elev_mean,elev_max,elev_min,relief_m,population,pa_frac,pa_strict_frac,pa_marine_frac,ramsar_frac,pa_name,pa_category,ecoregion,lifezone,watershed,shallow_frac,dist_coast_km,n_accommodation,n_airport,n_attraction,n_beach,n_dive_surf,n_food_service,n_hotspring,n_marina_port,n_peak,n_reef_natural,n_trail,n_viewpoint,n_visitor_infra,n_waterfall,tt_gateway_h,tt_capital_h,gbif_records,gbif_species,sp_aves,sp_mammalia,sp_amphibia,sp_reptilia,s_forest,s_mangrove,s_wetland,s_shallow,s_relief,nat_features,nat_features_nb,beach_nb,s_nat_features,s_beach,s_shallow_nb,s_mangrove_nb,s_pa_attract,s_pa_cover,s_ramsar,s_species,s_records,s_eco_rare,s_lz_rare,accom_nb,food_nb,infra_nb,trail_nb,marine_ops_nb,airport_nb,s_accom,s_food,s_attract_infra,s_trails,s_marine_ops,s_airport,s_access_gw,s_access_cap,s_pop,NAV,TDL,ACC,BCV,coastal_exposure,s_coastal_exposure,s_protective_eco,s_upper_catchment,s_ws_exposure,RES,pop_neighbourhood,s_labour,is_comarca,s_comarca,s_decentral,JOBS,dist_road_km,dist_settlement_km,dist_colombia_km,advisory_zone,dev_feasible,infeasible_reason,sensitivity,protection_gap,supply_gap,pressure,fit_invest,fit_protect,fit_adapt,fit_manage,pct_fit_protect,pct_fit_invest,pct_fit_adapt,pct_fit_manage,primary,primary_fit,primary_rank,primary_label,secondary,in_gov_dest,eco_class,tourism_class
8666a07a7ffffff,36.95,36.955,1.0,inland,0.0,Veraguas,Santa Fe,,,0.4675,0.0,0.5325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4374,670.6,1182.8,232.6,950.2,563.0,1.0,0.0,0.0,0.0,Cuenca del Río Santa María,Reserva Hidrológica,Isthmian-Pacific moist forests,Pre Montane Wet Forest,Río Santa María,0.0,16.83,0,0,0,0,0,0,0,0,2,0,0,1,0,1,3.6,5.01,387,100,91,2,7,0,40.6,0.0,0.0,0.0,90.7,4,20.5,0.0,96.7,0.0,0.0,0.0,66.0,84.1,0.0,48.1,51.8,51.5,77.3,1.0,1.0,1.5,1.0,0.0,0.0,47.5,39.1,59.6,48.9,0.0,0.0,47.8,56.1,43.3,58.9,40.4,50.7,44.8,0.0,0.0,0.0,63.8,85.8,74.0,4825.0,67.8,0,0.0,43.9,47.7,1.67,1.7,367.76,0,1,,26.9,74.0,18.5,0.0,57.1,64.2,47.2,30.3,91.5,95.4,91.0,83.3,INVEST,57.1,95.4,Invest / Develop,PROTECT; ADAPT,0,Forest mosaic,Developing
8666b5d4fffffff,36.6,36.596,1.0,inland,0.0,Bocas del Toro,Changuinola,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4333,1714.2,2103.3,1122.8,980.5,0.0,1.0,0.42,0.0,0.0,La Amistad y Palo Seco,Parque Nacional y Bosque Protector,Talamancan montane forests,Lower Montane Rain Forest,Río Changuinola,0.0,22.23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.08,22.35,17,14,6,2,6,0,96.3,0.0,0.0,0.0,91.4,1,3.5,0.0,69.1,0.0,0.0,0.0,79.3,84.1,0.0,28.4,26.6,82.4,97.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.099999999999994,2.700000000000003,0.0,61.4,0.0,4.9,58.3,0.0,0.0,0.0,83.2,71.2,77.0,0.0,0.0,0,0.0,97.3,25.5,14.04,7.39,574.56,0,0,over 8 h from the nearest tourism gateway,51.8,44.7,61.4,0.0,30.2,48.9,9.0,21.0,43.6,21.9,34.0,35.5,PROTECT,48.9,43.6,Protect / Restore,,0,Dense forest,No mapped supply
8666a341fffffff,37.56,0.0,0.0,nearshore,2.29,Veraguas,Montijo,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4433,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Sur de Veraguas,Zona Especial de Manejo,,,,0.0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,5.98,4736,258,242,12,4,0,0.0,0.0,0.0,0.0,0.0,0,4.0,4.0,72.0,84.8,47.5,0.0,66.0,84.1,0.0,71.0,77.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3,48.0,0.0,45.2,0.0,42.3,36.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,52.0,20.9,12.84,10.92,379.09,0,0,no road access within 10 km,22.1,45.2,45.2,0.0,41.1,43.8,10.8,20.1,36.6,45.8,44.4,31.9,NONE,0.0,0.0,No strong basis,,0,Coastal water,No mapped supply
86679b297ffffff,36.37,13.531,0.372,coastal,0.0,Bocas del Toro,Changuinola,,,0.3262,0.0,0.003,0.0,0.0,0.0,0.0,0.6246,0.0032,0.0429,0.0,4313,5.1,21.7,0.0,21.7,109.0,0.805,0.0,0.805,0.805,San San Pond Sak,Humedal de Importancia Internacional,Mesoamerican Gulf-Caribbean mangroves,Tropical Moist Forest,Ríos entre el Sixaola y Changuinola,0.646,0.45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.18,9.97,3469,295,269,16,10,0,32.3,58.0,68.1,79.9,15.8,1,1.5,1.5,46.8,57.6,79.5,52.8,50.6,56.4,78.1,76.3,74.6,99.5,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,21.09999999999999,23.4,46.7,0.0,34.7,61.9,71.55,95.8,76.0,27.1,36.3,85.3,9614.0,81.5,0,0.0,78.9,60.7,5.26,1.07,564.33,0,1,,37.1,85.3,46.7,0.0,49.5,67.8,21.0,29.6,97.2,74.8,67.2,80.9,PROTECT,67.8,97.2,Protect / Restore,,0,Mangrove,No mapped supply
866613577ffffff,36.99,36.989,1.0,inland,0.0,Comarca Emberá Wounaán,Sambú (Área 2),,,0.9998,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4359,151.6,585.3,44.9,540.4,0.0,0.001,0.001,0.0,0.0,Darién,Parque Nacional,Chocó-Darién moist forests,Pre Montane Wet Forest,Río Sambú,0.0,15.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.26,17.39,19,10,2,0,8,0,91.7,0.0,0.0,0.0,75.7,0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,15.4,0.0,26.9,26.9,70.9,77.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,35.4,0.0,5.900000000000006,6.799999999999997,0.0,34.5,3.5,6.2,46.4,0.0,0.0,0.0,66.6,20.8,37.2,0.0,0.0,1,100.0,93.2,39.5,8.94,4.19,52.98,0,0,over 8 h from the nearest tourism gateway,27.9,37.2,31.0,0.0,28.5,48.6,10.8,18.6,42.9,19.7,44.4,25.5,PROTECT,48.6,42.9,Protect / Restore,,0,Dense forest,Marginal
8666a000fffffff,36.81,36.814,1.0,inland,0.0,Coclé,La Pintada,,,0.9438,0.0,0.0562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4358,800.5,1408.3,333.8,1074.5,0.0,0.346,0.346,0.0,0.0,General de División Omar Torrijos Herrera,Parque Nacional,Isthmian-Pacific moist forests,Pre Montane Wet Forest,Río Grande,0.0,24.18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.58,4.99,294,186,179,0,7,0,74.8,0.0,0.0,0.0,93.8,1,11.0,0.0,90.7,0.0,0.0,0.0,47.1,39.7,0.0,62.7,48.3,51.5,77.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1,56.2,0.0,64.3,0.0,50.9,51.7,0.0,0.0,0.0,95.3,92.3,93.8,176.0,19.1,0,0.0,43.8,28.2,2.21,1.8,340.53,0,1,,44.9,61.3,64.3,0.8,53.6,51.0,16.9,32.6,48.3,88.2,60.9,89.3,MANAGE,32.6,89.3,Manage / Avoid,INVEST,0,Dense forest,No mapped supply
866610167ffffff,36.23,0.0,0.0,nearshore,6.45,Comarca Kuna Yala,No asignado,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,10.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.24,11.37,8,3,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,32.6,0.0,0.0,0.0,0.0,19.4,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.099999999999994,16.400000000000006,0.0,9.8,0.0,14.9,12.0,0.11,20.5,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,83.6,38.7,25.88,12.41,39.66,1,0,Darien Gap border region (standing travel advisories),7.2,9.8,9.8,0.0,26.6,31.0,5.7,10.9,22.7,16.6,21.0,7.4,NONE,0.0,0.0,No strong basis,,0,Coastal water,No mapped supply
8666a6097ffffff,36.52,0.0,0.0,nearshore,3.21,Comarca Ngäbe Buglé,Kusapín,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,10.48,3,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,3.5,72.0,82.5,47.4,0.0,0.0,0.0,0.0,17.6,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,35.4,0.0,42.1,19.200000000000003,0.0,39.9,3.5,34.1,15.5,0.0,0.0,0.0,0.0,0.0,0.0,4609.0,66.8,1,100.0,80.8,70.3,34.76,7.32,483.93,0,0,no road access within 10 km,9.3,39.9,36.4,0.0,40.3,34.1,5.0,12.3,25.9,43.9,19.4,10.2,NONE,0.0,0.0,No strong basis,,0,Coastal water,Marginal
8666a2c87ffffff,37.01,37.011,1.0,inland,0.0,Chiriquí,Gualaca,Comarca Ngabe - Soloy,action_plan,0.571,0.0,0.4285,0.0,0.0,0.0002,0.0,0.0002,0.0,0.0,0.0,4380,409.6,663.8,186.6,477.2,0.0,0.0,0.0,0.0,0.0,,,Isthmian-Pacific moist forests,Pre Montane Wet Forest,Río Fonseca y entre Río Chiriquí y Río San Juan,0.0,15.73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.61,6.42,1739,116,110,3,3,0,46.9,0.0,0.0,0.0,71.8,1,3.0,0.0,65.5,0.0,0.0,0.0,0.0,0.0,0.0,52.0,67.2,51.5,77.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1,44.2,0.0,42.5,0.0,63.0,38.8,0.0,0.0,0.0,62.9,43.3,52.2,0.0,0.0,0,0.0,55.8,28.6,0.82,0.87,491.17,0,1,,23.3,52.2,42.5,0.0,55.2,55.9,18.9,26.1,63.3,91.8,64.3,61.2,INVEST,55.2,91.8,Invest / Develop,,1,Forest mosaic,No mapped supply
8666aed97ffffff,37.55,27.625,0.736,coastal,0.0,Los Santos,Tonosí,Pedasi - Tonosi - Cambutal,priority,0.0438,0.0,0.0785,0.0088,0.0,0.0027,0.0,0.3127,0.0194,0.5341,0.0,4432,10.9,64.7,0.0,64.7,0.0,0.886,0.886,0.886,0.0,Isla Cañas,Refugio de Vida Silvestre,South American Pacific mangroves,Tropical Moist Forest,Río Tonosí,0.283,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,6.14,3568,186,173,10,3,0,18.0,99.0,90.4,55.0,24.8,0,0.0,0.0,0.0,0.0,75.0,92.4,83.8,60.0,0.0,62.7,75.4,92.8,33.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,35.4,0.0,37.3,46.7,0.0,35.4,3.5,40.6,52.5,1.13,46.8,99.3,17.0,18.7,68.2,1677.0,43.3,0,0.0,53.3,38.1,2.89,1.43,275.27,0,1,,66.9,7.8,31.9,0.4,43.0,40.8,18.6,30.0,33.2,52.0,63.8,82.4,MANAGE,30.0,82.4,Manage / Avoid,,1,Mangrove,Marginal
