cluster_id,name,action,n_cells,area_km2,fit,NAV,TDL,ACC,BCV,RES,JOBS,sensitivity,protection_gap,supply_gap,pa_frac,pa_strict_frac,pa_names,mangrove_frac,tree_frac,shallow_frac,wetland_frac,relief_m,elev_max,gbif_species,gbif_threatened,riv_rp100_pop,cst_rp100_pop,coastal_pop_buffered,coastal_pop_gain,att_total,mangrove_width_m,ws_flood_pop,ws_forest_frac,tt_gateway_h,population,n_accommodation,n_food_service,n_attraction,n_beach,n_trail,n_dive_surf,n_marina_port,is_comarca,dev_feasible_share,dist_access_km,access_mode,provinces,districts,ecoregion,watershed,gov_dest,gov_share,in_gov_plan,selected_by,assets,h3_cells,priority_score,rank,infra_level,infra_label,nature_level,nature_label,n_sites,protect_ha,restore_ha
PR25,Palo Seco,PROTECT,125,4577.3,66.5,60.1,22.5,30.3,61.2,19.7,49.0,37.0,59.8,40.3,0.568,0.006,Fortuna; Isla Bastimentos; La Amistad y Palo Seco; Palo Seco; Playa Bluff,0.0048,0.792,0.128,0.0069,692.0,2378.0,369,66,53541,0,0,0,0.508,32,190712,0.76,5.03,171199,124,129,13,23,25,8,25,1,0.69,4.8,road,Bocas del Toro; Chiriquí; Comarca Ngäbe Buglé,Almirante; Besiko; Bocas del Toro; Boquete; Changuinola; Chiriquí Grande,Isthmian-Atlantic moist forests,Río Changuinola,Bocas del Toro,0.15,0,screening,Pure Tree Experience; Antigua Ciudad de Santiago de Talamanca; Museo de Plástico; Silverbacks reefbreak; Surf point break; Oreba Chocolate Tour; Finca Los Monos Botanical Gardens; Boca del Drago; Surf Break Point; Sloth; Parque Artesanías; Wizard beach,"8666b5837ffffff,8666b591fffffff,8666b5907ffffff,8666b5927ffffff,86679b28fffffff,86679b2d7ffffff,86679b2c7ffffff,86679b2cfffffff,8666a65b7ffffff,8666a6587ffffff,8666a658fffffff,8666a659fffffff,8666a64b7ffffff,8666a6487ffffff,8666a64afffffff,8666a648fffffff,8666a649fffffff,8666a6497ffffff,8666b5867ffffff,8666b5847ffffff,8666b584fffffff,8666b5ba7ffffff,8666b5b87ffffff,8666b5b8fffffff,8666b5a37ffffff,8666b5a27ffffff,8666b5a2fffffff,8666b5a0fffffff,8666b5ae7ffffff,8666b5aefffffff,8666b5a5fffffff,8666b5a47ffffff,8666b5a4fffffff,8666a2da7ffffff,8666a2dafffffff,8666a2c37ffffff,8666a2d8fffffff,8666a2d9fffffff,8666a2d97ffffff,8666a2d87ffffff,8666a2db7ffffff,8666b5acfffffff,8666b5adfffffff,8666b5ad7ffffff,8666b5a8fffffff,8666b5aafffffff,8666b5a87ffffff,8666b5ab7ffffff,8666b516fffffff,8666b5147ffffff,8666b5177ffffff,8666b58dfffffff,8666b58c7ffffff,8666b58e7ffffff,8666b580fffffff,8666b582fffffff,8666b5957ffffff,8666b5977ffffff,8666b5947ffffff,8666b581fffffff,8666b58afffffff,8666b588fffffff,8666b5127ffffff,8666b5107ffffff,8666b5137ffffff,8666b589fffffff,8666b5897ffffff,8666b58b7ffffff,8666b599fffffff,8666b5987ffffff,8666b59a7ffffff,86679b64fffffff,86679b66fffffff,86679b297ffffff,86679b667ffffff,86679b647ffffff,86679b657ffffff,86679b6efffffff,86679b6e7ffffff,86679b6f7ffffff,86679b6afffffff,86679b617ffffff,86679b607ffffff,86679b78fffffff,86679b6a7ffffff,86679b61fffffff,86679b60fffffff,86679b65fffffff,8666b59b7ffffff,8666b5997ffffff,8666b5887ffffff,8666b58a7ffffff,8666b58efffffff,8666b58f7ffffff,8666b58cfffffff,8666b58d7ffffff,8666b510fffffff,8666b512fffffff,8666b5167ffffff,8666b5ac7ffffff,8666b5af7ffffff,8666b5a1fffffff,8666b5a07ffffff,8666b5a17ffffff,8666b5aa7ffffff,8666b5b9fffffff,8666b5b97ffffff,8666b5bb7ffffff,8666b585fffffff,8666b5857ffffff,8666b5877ffffff,8666b595fffffff,8666b594fffffff,8666b596fffffff,8666a6597ffffff,8666b5967ffffff,86679b2dfffffff,86679b29fffffff,8666b592fffffff,8666b5937ffffff,8666b590fffffff,8666b5917ffffff,8666b5817ffffff,8666b598fffffff,8666b59afffffff",321.6,1,light,Low-impact access only,protect_restore,Protect and restore,5,345116,82
PR24,Alto Darién,PROTECT,29,1060.4,61.0,42.2,5.0,17.9,58.9,10.8,49.1,35.4,42.2,37.2,0.859,0.0,Alto Darién,0.0,0.976,0.0,0.0002,213.0,1002.0,303,22,2876,0,0,0,0.0,0,4218,0.887,11.0,8388,0,0,0,0,3,0,1,1,0.28,7.0,road,Comarca Emberá Wounaán; Comarca Kuna Yala; Darién,Cémaco (Área 1); No asignado; Pinogana,Chocó-Darién moist forests,Río Chucunaque,,0.0,0,screening,,"866610217ffffff,866610237ffffff,866610227ffffff,86661030fffffff,866610377ffffff,866610207ffffff,8666102afffffff,86661028fffffff,866613927ffffff,86661392fffffff,86661390fffffff,866613827ffffff,86661382fffffff,866613807ffffff,866613907ffffff,866613937ffffff,86661066fffffff,866610297ffffff,8666102b7ffffff,86661076fffffff,866610747ffffff,86661075fffffff,866610777ffffff,866610767ffffff,86661074fffffff,866610647ffffff,866610667ffffff,86661029fffffff,866610287ffffff",207.5,2,none,No new development,protect,Protect,0,100107,0
MA16,Chagres,MANAGE,47,1703.7,51.3,54.0,37.5,70.5,62.6,17.6,46.4,63.1,17.8,19.8,0.691,0.639,"Chagres; Islas Advent, Zorra y Juan Gallego; P. Nal. Camino de Cruces; Portobelo; Soberanía",0.0009,0.776,0.063,0.0061,399.0,997.0,496,76,0,0,0,0,0.19,131,128008,0.66,1.42,127014,32,33,27,2,34,1,3,0,1.0,2.0,road,Colón; Panamá; Panamá Oeste,Arraiján; Colón; Panamá; Portobelo; Santa Isabel,Isthmian-Atlantic moist forests,Canal de Panamá,Colon - Portobelo - Santa Isabel,0.94,1,screening,Hummingbird Feeder; Pedro Miguel Locks; Limbo Hunt Club; Puente Centenario; Isla Mamey; Puerto Corotu; María; Venta de Cruces; Empedrado Colonial; Sendero a río las cascadas; Fuerte San Fernando; Gamboa Sloth Sanctuary,"8666a5817ffffff,8666a5837ffffff,8666a591fffffff,8666a5917ffffff,8666a59a7ffffff,8666a5987ffffff,8666a59b7ffffff,86678b64fffffff,8666a59afffffff,8666a5807ffffff,8666a581fffffff,8666a58e7ffffff,8666a58c7ffffff,8666a58cfffffff,8666a5bb7ffffff,8666a585fffffff,8666a584fffffff,8666a5ba7ffffff,8666a5b87ffffff,8666a5b97ffffff,8666a5167ffffff,8666a5177ffffff,8666a5157ffffff,8666a502fffffff,8666a5077ffffff,8666a500fffffff,8666a5007ffffff,8666a5037ffffff,8666a511fffffff,8666a5117ffffff,8666a51a7ffffff,8666a5c4fffffff,8666a5c6fffffff,8666a5897ffffff,8666a5887ffffff,8666a588fffffff,8666a5c47ffffff,8666a51afffffff,8666a5027ffffff,8666a510fffffff,8666a512fffffff,8666a58dfffffff,8666a58d7ffffff,8666a58f7ffffff,8666a58afffffff,8666a58a7ffffff,8666a598fffffff",198.6,3,light,Low-impact access only,protect_restore,Protect and restore,4,95894,3313
IN08,Müna,INVEST,22,815.9,60.8,48.6,4.2,62.8,44.8,19.2,68.2,26.9,48.6,44.4,0.0,0.0,,0.0,0.734,0.0,0.0,617.0,1480.0,181,18,0,0,0,0,0.0,0,3315,0.588,1.96,38211,0,0,1,0,0,0,0,1,1.0,0.4,road,Chiriquí; Comarca Ngäbe Buglé; Veraguas,Las Palmas; Mironó; Müna; Nole Duima; Tolé,Isthmian-Pacific moist forests,Río Tabasará,Corredor Oriental - San Felix / Las Lajas,0.09,0,screening,Petroglifos de Kiad; Cerro Iglesia; Cerro Peña Blanca; Cerro Barro Blanco; Cerro Iglesias; Cerro Algodón; Cerro Banco; Cerro Pilón; Cerro Miguel; Cerro Paloma; NB-121; Cerro Vaca,"8666a2ab7ffffff,8666a2a97ffffff,8666a214fffffff,8666a215fffffff,8666a2157ffffff,8666a2177ffffff,8666a212fffffff,8666a2107ffffff,8666a211fffffff,8666a2037ffffff,8666a21afffffff,8666a2187ffffff,8666a21b7ffffff,8666a21a7ffffff,8666a2c4fffffff,8666a2117ffffff,8666a2137ffffff,8666a2127ffffff,8666a2027ffffff,8666a210fffffff,8666a2147ffffff,8666a216fffffff",190.6,4,develop,Develop new capacity,protect,Protect,5,51713,0
PR29,Narganá,PROTECT,17,613.5,65.6,56.1,35.5,49.9,61.1,10.7,47.2,36.7,56.1,22.0,0.609,0.0,Narganá,0.01,0.602,0.103,0.0003,247.0,725.0,262,65,1577,0,0,0,0.513,96,5548,0.636,3.91,3513,6,4,5,9,0,0,11,1,0.94,4.8,boat or air,Comarca Kuna Yala; Panamá,Chepo; No asignado,Chocó-Darién moist forests,Ríos entre el Mandinga y Armila,,0.0,0,screening,Museum of Kuna Cultura; Puerto Terminal Barsukan; Puerto Terminal Niga Cantule; Terminal-Puerto Dibin; Puerto Niga Kantule,"86661641fffffff,866616407ffffff,86661642fffffff,86661655fffffff,866616547ffffff,86661656fffffff,8666160b7ffffff,866616087ffffff,86661609fffffff,86661646fffffff,866616097ffffff,86661654fffffff,866616467ffffff,866616477ffffff,866616457ffffff,86661640fffffff,8666164e7ffffff",189.6,5,light,Low-impact access only,protect_restore,Protect and restore,1,35896,29
AD03,Ciudad de Panama - Taboga,ADAPT,20,728.0,55.8,51.0,82.1,83.2,59.0,41.1,60.3,37.7,50.5,0.2,0.081,0.056,Cerro Ancón; Cuenca Alta del Río Pacora; Humedal de Bahía de Panamá; Manglares de Panamá Viejo; P. Nal. Camino de Cruces,0.0113,0.504,0.134,0.0025,267.0,804.0,593,76,212093,4977,2772,1378,0.558,92,128008,0.448,0.22,1510045,275,1235,146,16,54,1,12,0,1.0,0.3,road,Panamá; Panamá Oeste,Arraiján; Panamá,Isthmian-Atlantic moist forests,Ríos entre el Caimito y el Juan Díaz,Ciudad de Panama - Taboga,0.75,1,screening,Miraflores Locks; San Martín; Cabeza de Einstein; Parque Natural Metropolitano; Avalon Resort; Centro de Exhibiciones Marinas; Panama Viejo Entrada; Cabildo; Centro de Visitantes de Miraflores; Palacio Bolívar; Miguel de Cervantes Saavedra; Octavio Méndez Pereira,"8666a5057ffffff,8666a5047ffffff,8666a5067ffffff,8666a514fffffff,8666a516fffffff,8666a5b9fffffff,8666a5b8fffffff,8666a5bafffffff,8666a5a17ffffff,8666a5aa7ffffff,8666a5a87ffffff,8666a5a9fffffff,8666a5ab7ffffff,8666a5147ffffff,8666a5a97ffffff,8666a515fffffff,8666a506fffffff,8666a504fffffff,8666a505fffffff,8666a50efffffff",169.9,6,upgrade,Upgrade and diversify,protect_restore,Protect and restore,5,35767,38
AD02,Boquete,ADAPT,21,774.2,53.6,64.4,69.5,55.9,68.2,40.4,60.8,51.6,44.7,4.4,0.325,0.266,La Amistad; La Amistad y Palo Seco; La Amistad y Volcán Barú; Laguna de Volcán; Volcan Barú,0.0,0.75,0.0,0.0,1044.0,3269.0,562,65,0,0,0,0,0.012,0,190712,0.599,1.47,37278,97,140,22,0,163,0,0,0,1.0,1.4,road,Bocas del Toro; Chiriquí,Almirante; Boquerón; Boquete; Dolega; Tierras Altas,Talamancan montane forests,Río Chiriquí,Boquete,0.71,1,screening,Mi jardín es su jardín; Boquete Tree Trek; Hidden Waterfalls; El Exporador Theme Park; El Exporador Entrance; Sitio Arqueológico y parque temático Barriles; Finca Dracula; Jungla de Panama; Comienza de Sendero Piedra de Lino; Elida Estate; Cenizo (Árbol de 1000 años); Mercado Artesanal,"8666b501fffffff,8666b5007ffffff,8666b502fffffff,8666b5157ffffff,8666b515fffffff,8666b514fffffff,8666b5a97ffffff,8666b5a9fffffff,8666b5327ffffff,8666b532fffffff,8666b5307ffffff,8666b531fffffff,8666b5317ffffff,8666b53a7ffffff,8666b505fffffff,8666b50efffffff,8666b504fffffff,8666b5337ffffff,8666b506fffffff,8666b5067ffffff,8666b50e7ffffff",165.7,7,upgrade,Upgrade and diversify,protect,Protect,5,50039,0
IN09,Capira,INVEST,14,513.0,60.8,60.0,31.8,76.6,55.7,10.8,51.7,36.2,55.6,28.2,0.122,0.069,Altos de Campana; Bahía de Chame,0.0387,0.517,0.225,0.0012,413.0,981.0,422,37,0,0,0,0,0.807,839,642,0.48,1.1,29603,3,15,0,12,3,0,0,0,1.0,1.2,road,Panamá Oeste,Capira; La Chorrera,Isthmian-Atlantic moist forests,Ríos entre el Antón y el Caimito,Riviera Pacifica - Valle de Anton - El Cope - Penonome,0.07,0,screening,Cascada Alba; Playa Santo Dolor Rodilla; Playa California; La Nativa; Cerro Paitilla; Loma Campana; Cerro Guasimo; Cerro San Juan; Cerro Trinidad; Cerro Santa Cruz; Cerro Pan de Azucar; Peñon Gordo,"8666a5607ffffff,8666a5627ffffff,8666a5757ffffff,8666a5747ffffff,8666a5767ffffff,8666a575fffffff,8666a5677ffffff,8666a562fffffff,8666a5617ffffff,8666a56a7ffffff,8666a56b7ffffff,8666a579fffffff,8666a578fffffff,8666a5637ffffff",164.6,8,develop,Develop new capacity,protect_restore,Protect and restore,5,31421,1178
IN06,Cuenca del Río Santa María,INVEST,14,518.3,60.5,57.2,5.9,57.6,47.3,18.9,51.2,30.1,54.0,51.3,0.856,0.043,Cuenca del Río Santa María,0.0,0.61,0.0,0.0,427.0,1401.0,205,49,0,0,0,0,0.0,0,3596,0.478,2.9,17816,0,1,0,0,0,0,0,1,1.0,0.5,road,Comarca Ngäbe Buglé; Veraguas,Cañazas; La Mesa; San Francisco; Santa Fe; Ñürün,Isthmian-Pacific moist forests,Río Santa María,,0.0,0,screening,Cerro Viejo; Cerro Las Peñitas; Cerro El Peñon; Cerro Plata; Cerro La Mina; Cerro Cucharon; Cerro Tambor; Cerro Santa Rita; Cerro Campana; Cerro Libertad; Cerro Sogo; Cerro la Noneca,"8666a0787ffffff,8666a078fffffff,8666a079fffffff,8666a06b7ffffff,8666a2b4fffffff,8666a2a67ffffff,8666a2b5fffffff,8666a2b47ffffff,8666a2b67ffffff,8666a04cfffffff,8666a04c7ffffff,8666a04dfffffff,8666a2b6fffffff,8666a0797ffffff",163.8,9,develop,Develop new capacity,protect,Protect,5,18363,0
PR30,Cerro Gaital,PROTECT,8,293.9,70.0,64.1,74.7,78.9,63.4,15.6,56.8,38.8,62.9,1.9,0.029,0.018,Cerro Carigüana; Cerro Gaital,0.0,0.846,0.0,0.0,664.0,1159.0,550,55,0,0,0,0,0.0,0,1801,0.538,1.06,26345,50,38,17,0,76,0,0,0,1.0,0.4,road,Coclé; Panamá Oeste,Antón; Capira; Chame; Penonomé; San Carlos,Isthmian-Pacific moist forests,Ríos entre el Antón y el Caimito,Riviera Pacifica - Valle de Anton - El Cope - Penonome,1.0,1,screening,Piedra Pintada; Canopy Tours Zip line; Square Trees;arboles cuadrados; APROVACA Orchid Nursery; Serpentario; Chorro las Mozas #2; Chorro las Mozas #1; Parador Fotografico; piedra pintada; Mercado Municipal; Comunidad de Turega; Cerro Turega,"8666a569fffffff,8666a5687ffffff,8666a0a6fffffff,8666a0a4fffffff,8666a0a47ffffff,8666a0a67ffffff,8666a0b4fffffff,8666a5697ffffff",153.8,10,light,Low-impact access only,protect,Protect,5,24878,0
